Speed, Rotations, Status, Gear position, TransmissionMode, Proximity
0, 0, 0, 0, Manual, 0,0
0, 111, 1, 0, Automatic, -1,0
0, 167, 1, 0, Automatic, 11,1
0, 222, 1, 0, Automatic, 11,1
0, 277, 1, 0, Automatic, 11,1
0, 332, 1, 0, Automatic, 11,1
0, 386, 1, 0, Automatic, 11,1
0, 440, 1, 0, Automatic, 11,1
0, 494, 1, 0, Automatic, 11,1
0, 548, 1, 0, Automatic, 11,1
0, 602, 1, 0, Automatic, 11,1
0, 655, 1, 0, Automatic, 11,1
0, 708, 1, 0, Automatic, 11,1
0, 761, 1, 0, Automatic, 11,1
0, 813, 1, 0, Automatic, 11,1
0, 866, 1, 0, Automatic, 11,1
0, 917, 1, 0, Automatic, 11,1
0, 969, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 999, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
0, 1000, 1, 0, Automatic, 11,1
